id,Variable,Summer,Autumn,Winter,Spring,,,,,
1,T1001,20.5055,16.5291,11.5773,16.8557,,20.51,16.53,11.58,16.86
2,RH1001,56.8265,59.4251,65.6937,55.2535,,56.83,59.43,65.69,55.25
3,T1002,19.7943,15.5438,10.6510,16.0786,,19.79,15.54,10.65,16.08
4,RH1002,63.6579,67.3337,74.0045,62.2980,,63.66,67.33,74.00,62.30
5,T1003,20.0771,15.6281,11.0403,16.3184,,20.08,15.63,11.04,16.32
6,RH1003,64.0646,68.3823,75.0196,63.6327,,64.06,68.38,75.02,63.63
7,T1004,19.4661,15.1942,10.2346,,,19.47,15.19,10.23,0.00
8,RH1004,63.0252,67.4046,74.2861,,,63.03,67.40,74.29,0.00
9,T1005,19.2928,14.8308,10.3940,15.6814,,19.29,14.83,10.39,15.68
10,RH1005,62.8741,67.0997,73.1329,61.6667,,62.87,67.10,73.13,61.67
